AB008109
AB011099
AB011107
AB018278
AB018317
AB018345
AB022663
AB022698
AB024703
AB029006
AB029496
AB032980
AB035303
AB044971
AB070706
AB073737
AB074415
AF009243
AF030165
AF031383
AF042166
AF058317
AF099148
AF109388
AF133298
AF133422
AF145712
AF154829
AF156225
AF169802
AF176698
AF186084
AF187989
AF192529
AF193039
AF205073
AF218840
AF227516
AF241254
AF251079
AF258449
AF263462
AF268615
AF277566
AF288389
AF312734
AF316829
AF317840
AF378087
AF410465
AF411210
AF448839
AF464765
AJ132502
AJ315644
AJ387747
AJ459241
AJ459824
AK000526
AK001162
AK001238
AK001341
AK001529
AK021915
AK022636
AK022711
AK022807
AK023067
AK024702
AK025270
AK025499
AK025747
AK026597
AK027602
AK055041
AK057862
AK058142
AK074794
AK093186
AK097394
AK098187
AL160311
AY007380
AY028778
AY037806
AY057053
AY074489
BC000135
BC000141
BC001462
BC001721
BC002944
BC005329
BC005355
BC006128
BC007734
BC010942
BC011402
BC011403
BC011902
BC011986
BC014301
BC016556
BC017439
BC017957
BC020515
BC022032
BC022087
BC022257
BC027911
BC028743
BC030162
BC031582
BC032010
BC035407
BC036734
BC036749
D17570
L02752
L24559
L49054
M17263
M91556
M92432
NM_000089
NM_000246
NM_000495
NM_000573
NM_000635
NM_000825
NM_001173
NM_001847
NM_001849
NM_001917
NM_002433
NM_002581
NM_002732
NM_002747
NM_002940
NM_004128
NM_004684
NM_004950
NM_005773
NM_006398
NM_006569
NM_006610
NM_006725
NM_012173
NM_014337
NM_014587
NM_015100
NM_015544
NM_016950
NM_030932
NM_033100
S76942
